time,Lower,Middle,Upper,Actual
2018-07-13 22:00:00,60.59477,66.64972,70.03295,67.6
2018-07-13 23:00:00,57.805626,64.374756,67.60726,66.75
2018-07-14 00:00:00,57.741714,63.455994,66.35269,65.98
2018-07-14 01:00:00,58.621277,63.005863,65.43431,65.47
2018-07-14 02:00:00,61.307484,65.2207,68.85791,65.21
2018-07-14 03:00:00,62.10538,65.37631,69.088165,65.46
2018-07-14 04:00:00,61.942093,65.38627,68.96436,64.69
2018-07-14 05:00:00,61.569416,64.58331,69.33504,64.83
2018-07-14 06:00:00,62.616962,66.08143,70.64006,66.85
2018-07-14 07:00:00,65.18207,68.677704,73.55444,67.34
2018-07-14 08:00:00,64.8727,67.26823,68.50195,67.95
2018-07-14 09:00:00,64.62191,68.00264,69.48263,68.65
2018-07-14 10:00:00,66.28545,68.338776,70.0858,68.58
2018-07-14 11:00:00,65.70622,68.249664,69.53467,68.25
2018-07-14 12:00:00,64.96799,66.86617,69.11117,68.05
2018-07-14 13:00:00,62.469685,65.89894,68.802734,66.52
2018-07-14 14:00:00,63.853683,67.6067,71.844696,64.86
2018-07-14 15:00:00,61.66304,65.08802,70.33589,63.85
2018-07-14 16:00:00,60.06817,63.87229,68.22131,63.57
2018-07-14 17:00:00,60.715622,64.680405,68.80047,65.0
2018-07-14 18:00:00,62.855007,66.846794,70.691475,67.73
2018-07-14 19:00:00,64.436615,69.55464,73.12832,69.0
2018-07-14 20:00:00,61.248245,66.49499,69.5616,69.38
2018-07-14 21:00:00,62.328815,66.89011,69.184685,68.6
2018-07-14 22:00:00,60.57146,65.849,69.05157,67.63
2018-07-14 23:00:00,58.537025,65.22493,67.95942,66.53
2018-07-15 00:00:00,57.88418,64.128105,66.68865,65.61
2018-07-15 01:00:00,59.213566,63.00283,66.27052,65.66
2018-07-15 02:00:00,61.56198,65.673096,69.50389,63.26
2018-07-15 03:00:00,59.85936,62.890408,66.70581,63.18
2018-07-15 04:00:00,60.212917,63.352356,66.503746,62.92
2018-07-15 05:00:00,59.712585,63.533478,66.75657,63.17
2018-07-15 06:00:00,61.166637,65.26098,68.512245,67.25
2018-07-15 07:00:00,64.95912,69.90288,73.34596,67.89
2018-07-15 08:00:00,64.462074,67.89723,69.038605,66.84
2018-07-15 09:00:00,64.21662,66.785576,68.954475,68.29
2018-07-15 10:00:00,65.83673,68.480316,70.01879,68.08
2018-07-15 11:00:00,64.14571,67.45257,69.801704,68.68
2018-07-15 12:00:00,64.660736,66.73581,69.18908,67.96
2018-07-15 13:00:00,62.22212,65.51637,68.22849,63.45
2018-07-15 14:00:00,58.42346,62.51005,67.87371,59.89
2018-07-15 15:00:00,56.917805,58.758537,65.24388,57.48
2018-07-15 16:00:00,54.85322,57.315987,63.53067,57.0
2018-07-15 17:00:00,54.373306,57.357758,63.182835,59.64
2018-07-15 18:00:00,57.42347,62.665234,68.93042,61.02
2018-07-15 19:00:00,57.134727,62.894997,69.92865,64.04
2018-07-15 20:00:00,55.569733,61.763664,63.995213,68.56
2018-07-15 21:00:00,59.228645,66.03571,70.15732,63.99
2018-07-15 22:00:00,54.451077,59.407345,63.869556,64.09
2018-07-15 23:00:00,54.85103,60.139374,63.700577,57.5
2018-07-16 00:00:00,51.111275,52.898182,57.188435,55.24
2018-07-16 01:00:00,49.957245,52.928413,54.80462,55.16
2018-07-16 02:00:00,52.52019,54.728245,56.964798,55.26
2018-07-16 03:00:00,52.441746,55.215355,58.059635,55.23
2018-07-16 04:00:00,53.540268,57.48025,61.50057,58.09
2018-07-16 05:00:00,57.438538,62.15783,66.087715,62.44
2018-07-16 06:00:00,61.331467,68.210754,71.98808,68.64
2018-07-16 07:00:00,66.99269,70.63235,75.300446,69.97
2018-07-16 08:00:00,66.461296,70.08123,72.05406,70.21
2018-07-16 09:00:00,66.359024,69.226204,70.88865,72.2
2018-07-16 10:00:00,68.37755,71.88266,73.961555,72.74
2018-07-16 11:00:00,69.377815,71.62267,73.89274,73.21
2018-07-16 12:00:00,69.930756,71.47834,73.1225,73.07
2018-07-16 13:00:00,69.60502,70.891655,73.21606,71.86
2018-07-16 14:00:00,69.12395,72.0802,75.37791,72.07
2018-07-16 15:00:00,68.69692,72.71522,75.279076,72.3
2018-07-16 16:00:00,69.64151,72.86902,75.35784,71.96
2018-07-16 17:00:00,69.11059,72.79171,75.483025,70.49
2018-07-16 18:00:00,67.98183,70.110954,72.93368,71.24
2018-07-16 19:00:00,68.558525,71.43167,73.98321,72.65
2018-07-16 20:00:00,65.42965,69.97149,72.0289,73.13
2018-07-16 21:00:00,65.72962,69.32728,72.986565,70.92
2018-07-16 22:00:00,60.912724,66.035225,70.77933,66.29
2018-07-16 23:00:00,57.520603,63.265175,66.89053,64.46
2018-07-17 00:00:00,56.24497,61.123783,64.57677,60.73
2018-07-17 01:00:00,53.666637,58.300648,59.939156,60.64
2018-07-17 02:00:00,58.047234,60.394466,63.403297,59.6
2018-07-17 03:00:00,57.737003,59.47982,62.8489,60.23
2018-07-17 04:00:00,58.453255,60.416843,64.979546,64.46
2018-07-17 05:00:00,61.715572,66.91188,70.21576,66.55
2018-07-17 06:00:00,65.72932,70.32029,73.36734,70.83
2018-07-17 07:00:00,68.594376,71.92348,75.51599,71.49
2018-07-17 08:00:00,69.13109,71.04285,72.62317,71.65
2018-07-17 09:00:00,69.40325,71.53248,72.54825,74.01
2018-07-17 10:00:00,72.09754,74.24307,75.311386,74.95
2018-07-17 11:00:00,71.59644,74.73002,77.74941,75.53
2018-07-17 12:00:00,72.14071,74.38888,77.145004,74.41
2018-07-17 13:00:00,71.02554,72.0822,75.13591,73.32
2018-07-17 14:00:00,70.73887,73.58139,75.707245,72.88
2018-07-17 15:00:00,70.86269,73.21237,74.87675,72.48
2018-07-17 16:00:00,68.689224,71.953186,74.78805,71.81
2018-07-17 17:00:00,69.059555,71.32306,74.06475,69.83
2018-07-17 18:00:00,67.21067,70.24414,73.62273,70.05
2018-07-17 19:00:00,66.3939,70.065704,73.65769,70.32
2018-07-17 20:00:00,62.02056,67.6016,70.20528,70.35
2018-07-17 21:00:00,61.19648,67.02014,69.63893,66.85
2018-07-17 22:00:00,57.732006,62.522694,66.88358,63.96
2018-07-17 23:00:00,55.074543,60.458447,64.15603,60.23
2018-07-18 00:00:00,52.489918,56.408916,59.434902,58.25
2018-07-18 01:00:00,52.588287,55.65011,57.74368,58.7
2018-07-18 02:00:00,55.645683,58.88729,61.862526,58.05
2018-07-18 03:00:00,56.23098,58.620197,62.875633,58.61
2018-07-18 04:00:00,56.853153,60.15289,65.862656,64.4
2018-07-18 05:00:00,61.648666,67.02074,70.69165,67.51
2018-07-18 06:00:00,65.905045,70.946434,73.63158,70.89
2018-07-18 07:00:00,69.060356,72.008255,75.82585,72.19
2018-07-18 08:00:00,69.40392,72.267746,74.27246,72.05
2018-07-18 09:00:00,69.181206,71.58641,74.004684,74.63
2018-07-18 10:00:00,72.03198,74.672035,77.82298,74.6
2018-07-18 11:00:00,72.156395,74.41463,77.54669,74.93
2018-07-18 12:00:00,71.299194,72.7101,76.147835,74.06
2018-07-18 13:00:00,70.89292,71.67723,72.92471,73.0
2018-07-18 14:00:00,70.82137,73.29749,75.194145,72.87
2018-07-18 15:00:00,71.02015,73.387375,75.66743,72.69
2018-07-18 16:00:00,69.98768,72.676765,75.36942,72.82
2018-07-18 17:00:00,69.77711,72.93619,75.28237,70.31
2018-07-18 18:00:00,67.85046,70.12543,73.49753,70.87
2018-07-18 19:00:00,66.912575,70.986626,73.873276,72.35
2018-07-18 20:00:00,63.76422,69.57705,72.27733,73.5
2018-07-18 21:00:00,65.97616,70.05135,72.05934,71.84
2018-07-18 22:00:00,63.367535,67.657196,71.885414,68.99
2018-07-18 23:00:00,59.89665,65.66102,69.30367,67.08
2018-07-19 00:00:00,57.909637,62.960075,66.36687,65.19
2018-07-19 01:00:00,58.588104,62.03925,64.68656,62.87
